shop_name,product_name,product_image,product_url,product_review_count,product_talk_count,price,rating_average,count_sold,revenue,kelas
Lenovo Official,Lenovo IdeaPad 5 Ryzen 7 4800U 8GB 512 SSD Win10 OHS,https://images.tokopedia.net/img/attachment/2021/3/24/65580410/65580410_e9ee54d0-c9fb-4cbc-b90b-3340a86e8e89.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideapad-5-ryzen-7-4800u-8gb-512-ssd-win10-ohs-graphite-grey,16,14,11289000,4.9,24,270936000,Menengah
Lenovo Official,Lenovo IdeaPad Flex 5 Core i5-1135G7 16GB 512SSD MX450 2GB,https://images.tokopedia.net/img/VqbcmM/2021/2/4/1e170594-229b-4442-bc92-6e9c183f1f87.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideapad-flex-5-core-i5-1135g7-16gb-512ssd-mx450-2gb-light-teal,3,6,14299000,5.0,5,71495000,Atas
Lenovo Official,Lenovo IdeaPad Flex 5 14ARE05 Ryzen 5 4500U 8GB 512 SSD Win10 +OHS,https://images.tokopedia.net/img/VqbcmM/2021/2/8/d965961a-223c-47e9-936c-e4e2888f087d.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideapad-flex-5-14are05-ryzen-5-4500u-8gb-512-ssd-win10-ohs-ligh-teal,26,24,10699000,4.9,44,470756000,Menengah
Lenovo Official,Lenovo IdeaPad Gaming 3 15AR AMD Ryzen 7 4800H 16GB 512SSD GTX 1650 Ti,https://images.tokopedia.net/img/VqbcmM/2021/2/14/8db20f0c-9f63-4506-b07f-a0bc3c5ec999.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideapad-gaming-3-15ar-amd-ryzen-7-4800h-16gb-512ssd-gtx-1650-ti,6,9,15499000,4.3,11,170489000,Atas
Lenovo Official,Lenovo Legion S7 15IMH5 Core i7-10870H 32GB 1T SSD RTX 2060 Max-Q 6GB,https://images.tokopedia.net/img/VqbcmM/2021/2/8/a3737365-2c8d-431d-86c2-1f0ba7e0155f.jpg,https://www.tokopedia.com/lenovo-official/lenovo-legion-s7-15imh5-core-i7-10870h-32gb-1t-ssd-rtx-2060-max-q-6gb,16,6,27999000,4.9,20,559980000,Atas
Lenovo Official,"Lenovo IdeaPad 5 15ARE05 Ryzen 3 4300U 8GB 512GB SSD Win10 OHS 15""",https://images.tokopedia.net/img/VqbcmM/2021/2/8/7805fd26-c2e6-43fe-9a76-53f0e01ac5dd.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideapad-5-15are05-ryzen-3-4300u-8gb-512gb-ssd-win10-ohs-15-platinum-grey,13,9,8999000,5.0,23,206977000,Menengah
Lenovo Official,Lenovo IdeaPad Slim 5 14ITL05 Core i7-1165G7 16GB 512SSD Win10 + Home,https://images.tokopedia.net/img/VqbcmM/2021/1/23/037157e4-b0cb-437c-ab4b-947c241d7cee.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideapad-slim-5-14itl05-core-i7-1165g7-16gb-512ssd-win10-home,2,0,14299000,5.0,2,28598000,Atas
Lenovo Official,Lenovo Ideacentre 510-15ICB Core i5-9400F 8GB 1T HDD GT 730 2GB,https://images.tokopedia.net/img/VqbcmM/2021/2/19/c6d68fad-14ad-44d3-a9c3-b5df14a0251d.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideacentre-510-15icb-core-i5-9400f-8gb-1t-hdd-gt-730-2gb-led-18-5,7,0,8899000,4.6,15,133485000,Menengah
Lenovo Official,"Lenovo IdeaCentre AIO 3 24IMB05 Core i5-10400T 8GB HD 1T VGA 23""",https://images.tokopedia.net/img/VqbcmM/2021/2/2/54de8bd3-749d-4e03-a73e-80720140e7b6.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideacentre-aio-3-24imb05-core-i5-10400t-8gb-hd-1t-vga-23-business-black,0,1,10999000,-,2,21998000,Menengah
Lenovo Official,Lenovo ThinkBook 14 IIL Core i5-1035G7 8 GB 512 SSD Win10+OHS,https://images.tokopedia.net/img/VqbcmM/2021/1/7/d4658c26-0c79-4346-bb11-57f5421555b7.jpg,https://www.tokopedia.com/lenovo-official/lenovo-thinkbook-14-iil-core-i5-1035g7-8-gb-512-ssd-win10-ohs,15,12,11065000,5.0,27,298755000,Menengah
